marketing_name,stock_code,vendor,model,device_type,catalog_price,wholesale_price,fd_insured_value,fd_replacement_value,fd_koil_invoice_value,yop_insured_value,yop_replacement_value,yop__fd_koil_invoice_value,prev_insured_value,prev_replacement_value,prev_fd_koil_invoice_value
SAMSUNG PHONE GALAXY NEXUS,SGHI9250,Samsung,GALAXY NEXUS,Phone,"33,999","32,290","33,999","30,599","29,070","29,750","26,780","25,440","12,750","11,480","10,910"
SAMSUNG PHONE GALAXY Y DUOS,SGHGT-S6102,Samsung,GALAXY Y DUOS,Phone,"12,699","12,060","12,699","11,429","10,860","11,110","10,000","9,500","4,760","3,760","3,570"
SAMSUNG PHONE POCKET-S5303,SGHS5303,Samsung,POCKET-S5303,Phone,"10,399","9,870","10,399","9,359","8,890","9,100","8,100","7,700","3,900","2,900","2,760"
SAMSUNG PHONE S5300- POCKET,SGHS5300,Samsung,S5300- POCKET,Phone,"9,599","9,110","9,599","8,599","8,170","8,400","7,400","7,030","3,600","2,600","2,470"
SAMSUNG PHONE S5510 - GLAMIS,SGHS5510,Samsung,S5510 - GLAMIS,Phone,"8,699","8,260","8,699","7,699","7,310","7,610","6,610","6,280","3,260","2,260","2,150"
SAMSUNG TAB P7500 - 32GB,SGHP7500-32GB,Samsung,TAB P7500 - 32GB,Tablet,"43,999","41,790","43,999","39,599","37,620","38,500","34,650","32,920","16,500","14,850","14,110"
SGH PHONE C3322 LAKOTA DUOS,SGHC3322,Samsung,SGH C3322 LAKOTA DUOS,Phone,"6,899","6,550","6,899","5,899","5,600","6,040","5,040","4,790","2,590","1,590","1,510"
SGH PHONE E2232 NARI DUOS,SGHE2232,Samsung,SGH E2232 NARI DUOS,Phone,"4,350","4,130","4,350","3,350","3,180","3,810","2,810","2,670","1,630",630,600
SGH PHONE GALAXY ACE + S7500,SGHS7500,Samsung,GALAXY ACE + S7500,Phone,"19,699","18,710","19,699","17,729","16,840","17,240","15,520","14,740","7,390","6,390","6,070"
SGH PHONE GALAXY Y + 4COVERS,SGHS5360-SE,Samsung,SGH GALAXY Y,Phone,"11,499","10,920","11,499","10,349","9,830","10,060","9,050","8,600","4,310","3,310","3,140"
SONY ERICSSON PHONE SK17I,SESK17I,Sony,SK17I,Phone,"39,999","37,990","39,999","35,999","34,200","35,000","31,500","29,930","15,000","13,500","12,830"
SONY ERICSSON PHONE ST15I,SEST15,Sony,ST15I,Phone,"22,999","21,840","22,999","20,699","19,660","20,120","18,110","17,200","8,620","7,620","7,240"
SONY ERICSSON PHONE WT13I,SEWT13I,Sony,WT13I,Phone,"15,999","15,190","15,999","14,399","13,680","14,000","12,600","11,970","6,000","5,000","4,750"
SONY PHONE - XPERIA P-LT22I,SELT22I,Sony,XPERIA P-LT22I,Phone,"32,499","30,870","32,499","29,249","27,790","28,440","25,600","24,320","12,190","10,970","10,420"
SONY PHONE XPERIA J ST26I,SEST26I,Sony,XPERIA J ST26I,Phone,"22,999","21,840","22,999","20,699","19,660","20,120","18,110","17,200","8,620","7,620","7,240"
SONY PHONE XPERIA TIPO-ST21I2,SEST21I2,Sony,XPERIA TIPO-ST21I2,Phone,"15,999","15,190","15,999","14,399","13,680","14,000","12,600","11,970","6,000","5,000","4,750"
SONY XPERIA E C1605,SEC1605,Sony,XPERIA E C1605,Phone,"20,299","19,280","20,299","18,269","17,360","17,760","15,980","15,180","7,610","6,610","6,280"
SONY XPERIA ZL - C6502,SEC6502,Sony,XPERIA ZL - C6502,Phone,"67,999","64,590","67,999","61,199","58,140","59,500","53,550","50,870","25,500","22,950","21,800"
