marketing_name,stock_code,vendor,model,device_type,catalog_price,wholesale_price,fd_insured_value,fd_replacement_value,fd_koil_invoice_value,yop_insured_value,yop_replacement_value,yop__fd_koil_invoice_value,prev_insured_value,prev_replacement_value,prev_fd_koil_invoice_value
HTC FLYER P510-3G+ WIFI,O-HTCP510E,HTC,FLYER P510-3G+ WIFI,Tablet,"23,199","22,030","23,199","20,879","19,840","20,300","18,270","17,360","8,700","7,700","7,320"
HTC FLYER P510E - 3G + WIFI,HTCP510E,HTC,FLYER P510E - 3G + WIFI,Tablet,"22,999","21,840","22,999","20,699","19,660","20,120","18,110","17,200","8,620","7,620","7,240"
HTC PHONE DESIRE- S510E,HTCS510E,HTC,PHONE DESIRE- S510E,Phone,"39,999","37,990","39,999","35,999","34,200","35,000","31,500","29,930","15,000","13,500","12,830"
IPAD 2 - 32GB 3G + WIFI,IPAD2-32GB,Apple,IPAD 2 - 32GB 3G + WIFI,Tablet,"69,999","66,490","69,999","62,999","59,850","61,250","55,130","52,370","26,250","23,630","22,450"
IPAD 2 - 64GB 3G + WIFI,IPAD2-64GB,Apple,IPAD 2 - 64GB 3G + WIFI,Tablet,"74,999","71,240","74,999","67,499","64,120","65,620","59,060","56,110","28,120","25,310","24,040"
IPAD 32GB 3G & WIFI,IPAD32GB-3G,Apple,IPAD 32GB 3G & WIFI,Tablet,"57,999","55,090","57,999","52,199","49,590","50,750","45,680","43,400","21,750","19,580","18,600"
IPAD 4 - 16GB,IPAD4- 16GB,Apple,IPAD 4 - 16GB,Tablet,"76,999","73,140","76,999","69,299","65,830","67,370","60,630","57,600","28,870","25,980","24,680"
IPAD 4 - 32GB,IPAD4- 32GB,Apple,IPAD 4 - 32GB,Tablet,"89,999","85,490","89,999","80,999","76,950","78,750","70,880","67,340","33,750","30,380","28,860"
IPAD MINI - 16GB,IPADMINI-16GB,Apple,IPAD MINI - 16GB,Tablet,"57,999","55,090","57,999","52,199","49,590","50,750","45,680","43,400","21,750","19,580","18,600"
IPAD MINI - 32GB,IPADMINI-32GB,Apple,IPAD MINI - 32GB,Tablet,"72,999","69,340","72,999","65,699","62,410","63,870","57,480","54,610","27,370","24,630","23,400"
IPHONE 5 - 16GB,IPHONE5-16GB,Apple,IPHONE 5 - 16GB,Phone,"80,999","76,940","80,999","72,899","69,250","70,870","63,780","60,590","30,370","27,330","25,960"
LG PHONE - E615 - L5,LGE615-L5,LG,E615 - L5,Phone,"16,499","15,670","16,499","14,849","14,110","14,440","13,000","12,350","6,190","5,190","4,930"
LG PHONE - T375  DUAL SIM,LGT375,LG,T375  DUAL SIM,Phone,"10,499","9,970","10,499","9,449","8,980","9,190","8,190","7,780","3,940","2,940","2,790"
LG PHONE A230,LGA230,LG,A230,Phone,"6,399","6,070","6,399","5,399","5,130","5,600","4,600","4,370","2,400","1,400","1,330"
LG PHONE A290- TRI SIM,LGA290,LG,A290- TRI SIM,Phone,"8,099","7,690","8,099","7,099","6,740","7,090","6,090","5,790","3,040","2,040","1,940"
LG PHONE C333- TRI-SIM,LGC333,LG,C333- TRI-SIM,Phone,"6,799","6,450","6,799","5,799","5,510","5,950","4,950","4,700","2,550","1,550","1,470"
LG PHONE DUAL - C297,LGC297,LG,DUAL - C297,Phone,"4,699","4,460","4,699","3,699","3,510","4,110","3,110","2,950","1,760",760,720
LG PHONE DUAL- L72 - P715,LGP715,LG,DUAL- L72 - P715,Phone,"23,999","22,790","23,999","21,599","20,520","21,000","18,900","17,960","9,000","8,000","7,600"
LG PHONE- L3 DUAL- E-405,LGE405,LG,L3 DUAL- E-405,Phone,"10,399","9,870","10,399","9,359","8,890","9,100","8,100","7,700","3,900","2,900","2,760"
LG PHONE- L32 DUAL- E-435,LGE435,LG,LG PHONE- L32 DUAL- E-435,Phone,"11,199","10,630","11,199","10,079","9,580","9,800","8,800","8,360","4,200","3,200","3,040"
LG PHONE- L42 DUAL- E-445,LGE445,LG,LG PHONE- L42 DUAL- E-445,Phone,"13,999","13,290","13,999","12,599","11,970","12,250","11,030","10,480","5,250","4,250","4,040"
LG PHONE- L52 DUAL- E-455,LGE455,LG,LG PHONE- L52 DUAL- E-455,Phone,"17,999","17,090","17,999","16,199","15,390","15,750","14,180","13,470","6,750","5,750","5,460"
LG PHONE- L7 - P705,LGP705,LG,L7 - P705,Phone,"20,999","19,940","20,999","18,899","17,950","18,370","16,530","15,700","7,870","6,870","6,530"
LG PHONE- OPTIMUS G- E975,LGE975,LG,OPTIMUS G- E975,Phone,"50,999","48,440","50,999","45,899","43,600","44,620","40,160","38,150","19,120","17,210","16,350"
LG PHONE T510 - DUAL SIM,LGT510,LG,T510 - DUAL SIM,Phone,"9,299","8,830","9,299","8,299","7,880","8,140","7,140","6,780","3,490","2,490","2,370"
LG PHONE X330T,LGX330T,LG,X330T,Phone,"11,499","10,920","11,499","10,349","9,830","10,060","9,050","8,600","4,310","3,310","3,140"
LG PHONE-OPTIMUS VU- P895,LGP895,LG,OPTIMUS VU- P895,Phone,"42,999","40,840","42,999","38,699","36,760","37,620","33,860","32,170","16,120","14,510","13,780"
MI PHONE 2010,MI2010,Mi-Fone,2010,Phone,"3,499","3,320","3,499","2,499","2,370","3,060","2,060","1,960","1,310",310,290
 MI PHONE 210 ,MI210SAWA,Mi-Fone,210,Phone,"3,499","3,320","3,499","2,499","2,370","3,060","2,060","1,960","1,310",310,290
MI PHONE 400,MI400,Mi-Fone,400,Phone,"4,599","4,360","4,599","3,599","3,420","4,020","3,020","2,870","1,720",720,680
MI PHONE 401- SAWA SLIQ,MI401,Mi-Fone,401- SAWA SLIQ,Phone,"3,499","3,320","3,499","2,499","2,370","3,060","2,060","1,960","1,310",310,290
MI PHONE A100,MIA100,Mi-Fone,A100,Phone,"8,999","8,540","8,999","7,999","7,600","7,870","6,870","6,530","3,370","2,370","2,250"
MI PHONE A351 + FREE POUCH,MIA351,Mi-Fone,A351,Phone,"6,999","6,640","6,999","5,999","5,700","6,120","5,120","4,860","2,620","1,620","1,540"
MI PHONE A401- SAWA TOUCH II,MIA401,Mi-Fone,A401- SAWA TOUCH II,Phone,"11,499","10,920","11,499","10,349","9,830","10,060","9,050","8,600","4,310","3,310","3,140"
MI PHONE A531- SAWA XL,MIA531,Mi-Fone,A531- SAWA XL,Phone,"22,999","21,840","22,999","20,699","19,660","20,120","18,110","17,200","8,620","7,620","7,240"
MI PHONE E100,MIE100,Mi-Fone,E100,Phone,"5,799","5,500","5,799","4,799","4,560","5,070","4,070","3,870","2,170","1,170","1,110"
MI PHONE Q300,MIQ300,Mi-Fone,Q300,Phone,"3,799","3,600","3,799","2,799","2,660","3,320","2,320","2,200","1,420",420,400
MI PHONE Q400,MIQ400,Mi-Fone,Q400,Phone,"4,599","4,360","4,599","3,599","3,420","4,020","3,020","2,870","1,720",720,680
MI PHONE Q5,MIQ5,Mi-Fone,Q5,Phone,"5,299","5,030","5,299","4,299","4,080","4,640","3,640","3,460","1,990",990,940
MI PHONE Q5-01,MIQ5-01,Mi-Fone,Q5-01,Phone,"5,299","5,030","5,299","4,299","4,080","4,640","3,640","3,460","1,990",990,940
MI PHONE Q5-02,MIQ5-02,Mi-Fone,Q5-02,Phone,"5,699","5,410","5,699","4,699","4,460","4,990","3,990","3,790","2,140","1,140","1,080"
MI PHONE Q5-03,MIQ5-03,Mi-Fone,Q5-03,Phone,"6,399","6,070","6,399","5,399","5,130","5,600","4,600","4,370","2,400","1,400","1,330"
MI-3000 PHONE + FREE POUCH,MI3000,Mi-Fone,MI-3000,Phone,"6,599","6,260","6,599","5,599","5,320","5,770","4,770","4,530","2,470","1,470","1,400"
MIA200 DUALSIM+FREE POUCH,MIA200,Mi-Fone,MIA200 DUALSIM,Phone,"8,999","8,540","8,999","7,999","7,600","7,870","6,870","6,530","3,370","2,370","2,250"
MI-W100 PHONE,MIW100,Mi-Fone,MI-W100,Phone,"5,499","5,220","5,499","4,499","4,270","4,810","3,810","3,620","2,060","1,060","1,010"
MOT PHONE MZ601 XOOM 32GB,MOTMZ601,Motorola,MZ601 XOOM 32GB,Phone,"39,999","37,990","39,999","35,999","34,200","35,000","31,500","29,930","15,000","13,500","12,830"
MOTOROLA PHONE EX 115,MOTEX115,Motorola,EX 115,Phone,"11,499","10,920","11,499","10,349","9,830","10,060","9,050","8,600","4,310","3,310","3,140"
MOTOROLA PHONE FLIPOUT MB511,MOTMB511,Motorola,MB511,Phone,"24,999","23,740","24,999","22,499","21,370","21,870","19,680","18,700","9,370","8,370","7,950"
MOTOROLA PHONE WX280,MOTWX280,Motorola,WX280,Phone,"3,499","3,320","3,499","2,499","2,370","3,060","2,060","1,960","1,310",310,290
NOKIA PHONE - 308,NK308,Nokia,308,Phone,"8,899","8,450","8,899","7,899","7,500","7,790","6,790","6,450","3,340","2,340","2,220"
Nokia Lumia 620,NK620,Nokia,Lumia 620,Phone,"22,999","21,840","22,999","20,699","19,660","20,120","18,110","17,200","8,620","7,620","7,240"
Nokia Lumia 720,NK720,Nokia,Lumia 720,Phone,"30,999","29,440","30,999","27,899","26,500","27,120","24,410","23,190","11,620","10,460","9,940"
NOKIA PHONE 1800,NK1800,Nokia,1800,Phone,"3,299","3,130","3,299","2,299","2,180","2,890","1,890","1,800","1,240",240,230
NOKIA PHONE 200- ASHA,NK200,Nokia,200- ASHA,Phone,"6,999","6,640","6,999","5,999","5,700","6,120","5,120","4,860","2,620","1,620","1,540"
NOKIA PHONE 202- ASHA,NK202,Nokia,202- ASHA,Phone,"6,999","6,640","6,999","5,999","5,700","6,120","5,120","4,860","2,620","1,620","1,540"
NOKIA PHONE 206 DUAL SIM,NK206,Nokia,206 DUAL SIM,Phone,"6,299","5,980","6,299","5,299","5,030","5,510","4,510","4,280","2,360","1,360","1,290"
NOKIA PHONE 210- ASHA DUAL,NK210,Nokia,210- ASHA DUAL,Phone,"7,799","7,400","7,799","6,799","6,460","6,820","5,820","5,530","2,920","1,920","1,820"
NOKIA PHONE 302- ASHA,NK302,Nokia,302- ASHA,Phone,"10,399","9,870","10,399","9,359","8,890","9,100","8,100","7,700","3,900","2,900","2,760"
NOKIA PHONE 305- ASHA,NK305,Nokia,305- ASHA,Phone,"7,399","7,020","7,399","6,399","6,080","6,470","5,470","5,200","2,770","1,770","1,680"
NOKIA PHONE 311- ASHA,NK311,Nokia,311- ASHA,Phone,"11,499","10,920","11,499","10,349","9,830","10,060","9,050","8,600","4,310","3,310","3,140"
NOKIA PHONE 500,NK500,Nokia,500,Phone,"13,299","12,630","13,299","11,969","11,370","11,640","10,480","9,960","4,990","3,990","3,790"
NOKIA PHONE 501,NK501,Nokia,501,Phone,"9,499","9,020","9,499","8,499","8,070","8,310","7,310","6,940","3,560","2,560","2,430"
Nokia Lumia 520,NK520,Nokia,Lumia 520,Phone,"18,499","17,570","18,499","16,649","15,820","16,190","14,570","13,840","6,940","5,940","5,640"
