marketing_name,vendor,model,device_type,catalog_price,wholesale_price,fd_insured_value,fd_replacement_value,fd_koil_invoice_value,yop_insured_value,yop_replacement_value,yop_fd_koil_invoice_value,prev_insured_value,prev_replacement_value,prev_fd_koil_invoice_value
MIA200 DUALSIM+FREE POUCH,MI,MIA200 DUALSIM,Phone,"7,999","7,590","7,999","6,999","6,650","7,000","6,000","5,700","3,000","2,000","1,900"
MI-W100 PHONE,MI,MI-W100,Phone,"4,799","4,550","4,799","3,799","3,610","4,200","3,200","3,040","1,800",800,760
MOT PHONE MZ601 XOOM 32GB,Motorola,MZ601 XOOM 32GB,Phone,"62,999","59,840","62,999","56,699","53,860","55,120","49,610","47,130","23,620","21,260","20,200"
NOKIA PHONE - 308,Nokia,308,Phone,"7,699","7,310","7,699","6,699","6,360","6,740","5,740","5,450","2,890","1,890","1,800"
Nokia Lumia 620,Nokia,Lumia 620,Phone,"21,699","20,610","21,699","19,529","18,550","18,990","17,090","16,240","8,140","7,140","6,780"
Nokia Lumia 720,Nokia,Lumia 720,Phone,"28,999","27,540","28,999","26,099","24,790","25,370","22,830","21,690","10,870","9,780","9,290"
NOKIA PHONE 200- ASHA,Nokia,200- ASHA,Phone,"6,099","5,790","6,099","5,099","4,840","5,340","4,340","4,120","2,290","1,290","1,230"
NOKIA PHONE 202- ASHA,Nokia,202- ASHA,Phone,"5,899","5,600","5,899","4,899","4,650","5,160","4,160","3,950","2,210","1,210","1,150"
NOKIA PHONE 206 DUAL SIM,Nokia,206 DUAL SIM,Phone,"5,399","5,120","5,399","4,399","4,180","4,720","3,720","3,530","2,020","1,020",970
NOKIA PHONE 302- ASHA,Nokia,302- ASHA,Phone,"8,999","8,540","8,999","7,999","7,600","7,870","6,870","6,530","3,370","2,370","2,250"
NOKIA PHONE 305- ASHA,Nokia,305- ASHA,Phone,"6,699","6,360","6,699","5,699","5,410","5,860","4,860","4,620","2,510","1,510","1,430"
NOKIA PHONE 311- ASHA,Nokia,311- ASHA,Phone,"9,999","9,490","9,999","8,999","8,550","8,750","7,750","7,360","3,750","2,750","2,610"
Nokia Lumia 520,Nokia,Lumia 520,Phone,"15,999","15,190","15,999","14,399","13,680","14,000","12,600","11,970","6,000","5,000","4,750"
NOKIA PHONE ASHA 205,Nokia,ASHA 205,Phone,"5,199","4,930","5,199","4,199","3,990","4,550","3,550","3,370","1,950",950,900
NOKIA PHONE C2-03,Nokia,C2-03,Phone,"6,999","6,640","6,999","5,999","5,700","6,120","5,120","4,860","2,620","1,620","1,540"
NOKIA PHONE C2-05,Nokia,C2-05,Phone,"5,199","4,930","5,199","4,199","3,990","4,550","3,550","3,370","1,950",950,900
NOKIA PHONE DUAL SIM - 112,Nokia,DUAL SIM - 112,Phone,"3,899","3,700","3,899","2,899","2,750","3,410","2,410","2,290","1,460",460,440
Nokia Lumia 820,Nokia,Lumia 820,Phone,"33,499","31,820","33,499","30,149","28,640","29,310","26,380","25,060","12,560","11,300","10,740"
Nokia Lumia 920,Nokia,Lumia 920,Phone,"49,999","47,490","49,999","44,999","42,750","43,750","39,380","37,410","18,750","16,880","16,040"
NOKIA PHONE X2-02,Nokia,X2-02,Phone,"5,499","5,220","5,499","4,499","4,270","4,810","3,810","3,620","2,060","1,060","1,010"
NOKIA PHONE X2-05,Nokia,X2-05,Phone,"6,199","5,880","6,199","5,199","4,940","5,420","4,420","4,200","2,320","1,320","1,250"
SAMSUNG PHONE C3222 CH@T,Samsung,C3222 CH@T,Phone,"5,399","5,120","5,399","4,399","4,180","4,720","3,720","3,530","2,020","1,020",970
SAMSUNG PHONE CHAMP DELUX,Samsung,CHAMP DELUX,Phone,"5,999","5,690","5,999","4,999","4,750","5,250","4,250","4,040","2,250","1,250","1,190"
SAMSUNG CHAT DUOS- S3572,Samsung,CHAT DUOS- S3572,Phone,"6,750","6,410","6,750","5,750","5,460","5,910","4,910","4,660","2,530","1,530","1,450"
SAMSUNG PHONE CHAT-S3332,Samsung,CHAT-S3332,Phone,"5,999","5,690","5,999","4,999","4,750","5,250","4,250","4,040","2,250","1,250","1,190"
