Brand,Outlet,Town,Outlet Name,location,code
FoneXpress,Nakumatt,Malindi,Oasis Mall,"Malindi-Lamu Road",FXP035
Naivacom,Naivas,Embu,Naivacom Embu,"Mustri Building, Kumbu Kumbu Road",NVS013
Naivacom,Naivas,Nairobi,Naivacom Westend,"Next to The Mall, Westlands",NVS014
Naivacom,Naivas,Nairobi,Naivacom Utawala,"Eastern Bypass, Oppsite GSU Training",NVS015
Naivacom,Naivas,Ngong,Naivacom Ngong Town,"Kibiko Road, Next to Barclays Bank",NVS016
Naivacom,Naivas,Meru,Tuscom Meru,"Mwendatu Road",NVS017
Phonelink,Independent,Nairobi,Phonelink TRM (Samsung shop),"Thika Road Mall, Off Roysambu Roundabout, Thika Road",PLK010
